,dates,Price
725,2016-12-23,2263.71
726,2016-12-27,2268.87
727,2016-12-28,2249.95
728,2016-12-29,2249.35
729,2016-12-30,2239.13
730,2017-01-03,2257.83
731,2017-01-04,2270.75
732,2017-01-05,2269.0
733,2017-01-06,2276.98
734,2017-01-09,2268.9
735,2017-01-10,2268.9
736,2017-01-11,2275.32
737,2017-01-12,2270.44
738,2017-01-13,2274.64
739,2017-01-17,2267.89
740,2017-01-18,2271.89
741,2017-01-19,2263.69
742,2017-01-20,2271.31
743,2017-01-23,2265.2
744,2017-01-24,2280.07
745,2017-01-25,2298.37
746,2017-01-26,2296.68
747,2017-01-27,2294.69
748,2017-01-30,2280.9
749,2017-01-31,2278.87
750,2017-02-01,2279.55
751,2017-02-02,2280.85
752,2017-02-03,2297.42
753,2017-02-06,2292.56
754,2017-02-07,2293.08
755,2017-02-08,2294.67
756,2017-02-09,2307.87
757,2017-02-10,2316.1
758,2017-02-13,2328.25
759,2017-02-14,2337.58
760,2017-02-15,2349.25
761,2017-02-16,2347.22
762,2017-02-17,2351.16
763,2017-02-21,2365.38
764,2017-02-22,2362.82
765,2017-02-23,2363.81
766,2017-02-24,2367.34
767,2017-02-27,2369.75
768,2017-02-28,2363.64
769,2017-03-01,2395.96
770,2017-03-02,2381.92
771,2017-03-03,2383.12
772,2017-03-06,2375.31
773,2017-03-07,2368.39
774,2017-03-08,2362.98
775,2017-03-09,2364.87
776,2017-03-10,2372.6
777,2017-03-13,2373.47
778,2017-03-14,2365.45
779,2017-03-15,2385.26
780,2017-03-16,2381.38
781,2017-03-17,2378.25
782,2017-03-20,2373.47
783,2017-03-21,2344.02
784,2017-03-22,2348.45
785,2017-03-23,2345.96
786,2017-03-24,2343.98
787,2017-03-27,2341.59
788,2017-03-28,2358.57
789,2017-03-29,2361.13
790,2017-03-30,2368.06
791,2017-03-31,2362.72
792,2017-04-03,2358.84
793,2017-04-04,2360.16
794,2017-04-05,2352.95
795,2017-04-06,2357.49
796,2017-04-07,2355.54
797,2017-04-10,2357.16
798,2017-04-11,2353.78
799,2017-04-12,2344.93
800,2017-04-13,2328.95
801,2017-04-17,2349.01
802,2017-04-18,2342.19
803,2017-04-19,2338.17
804,2017-04-20,2355.84
805,2017-04-21,2348.69
806,2017-04-24,2374.15
807,2017-04-25,2388.61
808,2017-04-26,2387.45
809,2017-04-27,2388.77
810,2017-04-28,2384.2
811,2017-05-01,2388.33
812,2017-05-02,2391.17
813,2017-05-03,2388.13
814,2017-05-04,2389.52
815,2017-05-05,2399.29
816,2017-05-08,2399.38
817,2017-05-09,2396.92
818,2017-05-10,2399.63
819,2017-05-11,2394.44
820,2017-05-12,2390.9
821,2017-05-15,2402.32
822,2017-05-16,2400.67
823,2017-05-17,2357.03
824,2017-05-18,2365.72
825,2017-05-19,2381.73
826,2017-05-22,2394.02
827,2017-05-23,2398.42
828,2017-05-24,2404.39
829,2017-05-25,2415.07
830,2017-05-26,2415.82
831,2017-05-30,2412.91
832,2017-05-31,2411.8
833,2017-06-01,2430.06
834,2017-06-02,2439.07
835,2017-06-05,2436.1
836,2017-06-06,2429.33
837,2017-06-07,2433.14
838,2017-06-08,2433.79
839,2017-06-09,2431.77
840,2017-06-12,2429.39
841,2017-06-13,2440.35
842,2017-06-14,2437.92
843,2017-06-15,2432.46
844,2017-06-16,2433.15
845,2017-06-19,2453.46
846,2017-06-20,2437.03
847,2017-06-21,2435.61
848,2017-06-22,2434.5
849,2017-06-23,2438.3
850,2017-06-26,2439.07
851,2017-06-27,2419.38
852,2017-06-28,2440.69
853,2017-06-29,2419.7
854,2017-06-30,2423.41
855,2017-07-03,2429.01
856,2017-07-05,2432.54
857,2017-07-06,2409.75
858,2017-07-07,2425.18
859,2017-07-10,2427.43
860,2017-07-11,2425.53
861,2017-07-12,2443.25
862,2017-07-13,2447.83
863,2017-07-14,2459.27
864,2017-07-17,2459.14
865,2017-07-18,2460.61
866,2017-07-19,2473.83
867,2017-07-20,2473.45
868,2017-07-21,2472.54
869,2017-07-24,2469.91
870,2017-07-25,2477.08
871,2017-07-26,2477.83
872,2017-07-27,2475.42
873,2017-07-28,2472.1
874,2017-07-31,2470.3
875,2017-08-01,2476.35
876,2017-08-02,2477.57
877,2017-08-03,2472.16
878,2017-08-04,2476.83
879,2017-08-07,2480.91
880,2017-08-08,2474.92
881,2017-08-09,2474.02
882,2017-08-10,2438.21
883,2017-08-11,2441.32
884,2017-08-14,2465.84
885,2017-08-15,2464.61
886,2017-08-16,2468.11
887,2017-08-17,2430.01
888,2017-08-18,2425.55
889,2017-08-21,2428.37
890,2017-08-22,2452.51
891,2017-08-23,2444.04
892,2017-08-24,2438.97
893,2017-08-25,2443.05
894,2017-08-28,2444.24
895,2017-08-29,2446.3
896,2017-08-30,2457.59
897,2017-08-31,2471.65
898,2017-09-01,2476.55
899,2017-09-05,2457.85
900,2017-09-06,2465.54
901,2017-09-07,2465.1
902,2017-09-08,2461.43
903,2017-09-11,2488.11
904,2017-09-12,2496.48
905,2017-09-13,2498.37
906,2017-09-14,2495.62
907,2017-09-15,2500.23
908,2017-09-18,2503.87
909,2017-09-19,2506.65
910,2017-09-20,2508.24
911,2017-09-21,2500.6
912,2017-09-22,2502.22
913,2017-09-25,2496.66
914,2017-09-26,2496.84
915,2017-09-27,2507.04
916,2017-09-28,2510.06
917,2017-09-29,2519.36
918,2017-10-02,2529.12
919,2017-10-03,2534.58
920,2017-10-04,2537.74
921,2017-10-05,2552.07
922,2017-10-06,2549.33
923,2017-10-09,2544.73
924,2017-10-10,2550.64
925,2017-10-11,2555.24
926,2017-10-12,2550.93
927,2017-10-13,2553.17
928,2017-10-16,2557.64
929,2017-10-17,2559.36
930,2017-10-18,2561.26
931,2017-10-19,2562.1
932,2017-10-20,2575.21
933,2017-10-23,2564.98
934,2017-10-24,2569.13
935,2017-10-25,2557.15
936,2017-10-26,2560.4
937,2017-10-27,2581.07
938,2017-10-30,2572.83
939,2017-10-31,2575.26
940,2017-11-01,2579.36
941,2017-11-02,2579.85
942,2017-11-03,2587.84
943,2017-11-06,2591.13
944,2017-11-07,2590.64
945,2017-11-08,2594.38
946,2017-11-09,2584.62
947,2017-11-10,2582.3
948,2017-11-13,2584.84
949,2017-11-14,2578.87
950,2017-11-15,2564.62
951,2017-11-16,2585.64
952,2017-11-17,2578.85
